trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",35,13,-64.19895806377464,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,14,10.844245620732469,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,12,1.1972858921600371,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,3,-58.606211217522045,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",25,15,-8.025094141463386,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",30,21,15.361268083834391,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,11,-51.96238551093179,"{0: 4, 1: 2, 2: 1, 3: 2, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,16,18.502672565456766,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,2,-79.58490916703481,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,0,-10.083280779526971,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,16,7.340476216493451,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,2,-68.2168470892943,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,4,-28.564191260590597,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",35,26,19.134726719495198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",30,15,-113.51812109841468,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 2}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,13,0.22314832776534743,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,13,0.2730136844287836,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",35,23,-46.705488478401,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",35,9,-28.068617594910386,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,6,12.110667028937588,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,8,-58.91329632191637,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
